q_model	r_model	s_model
0.0088212322	0.97365769533336	0.0199987607080575
0.0089009143	0.996127710349304	0.0199987151959762
0.0089803599	1.01343505052049	0.0199986656987389
0.0090662809	0.997681833334935	0.0199986066952303
0.0091516785	0.981077897127407	0.0199985412775611
0.0092393532	1.02442244628353	0.0199984654761137
0.0093265017	0.979828184759174	0.0199983792273355
0.0094159674	1.00149782459301	0.0199982760387963
0.0095046489	0.989664624863712	0.0199981540939086
0.0095959371	0.989045181134196	0.019997999607968
0.0096859969	1.03321297971694	0.0199978033154672
0.0097822305	0.998919116800188	0.0199975084179077
0.0098693278	0.974536063355145	0.0199970515801006
0.0099619376	0.968601047126772	0.0197438648551846
0.010057883	0.925140467279572	0.0187595864592097
0.010155942	0.809558120342667	0.0160624558283554
0.010253873	0.651099225764666	0.0128601646235383
0.01035257	0.488049466785772	0.00956437555177776
0.010452511	0.31912998815328	0.00649040565069721
0.010551875	0.225681330557204	0.00463121590103539
0.010653853	0.177900778995159	0.0035329150681039
0.010756897	0.138711060918249	0.00280915241751195
0.010861007	0.113111919024636	0.00228032273744894
0.010963203	0.0952389776782168	0.00188600742410388
0.011067173	0.0789793144373021	0.00157183221630921
0.011174509	0.0668298722727989	0.00131375248345199
0.011282964	0.0533806115827514	0.00110374175768406
0.011392538	0.0456550257857425	0.000930931547334272
0.011503252	0.0394793279295686	0.000787470947210229
0.011615112	0.0332918711285802	0.000667562813651103
0.011728132	0.0287888372598016	0.00056679940527241
0.011842321	0.0245043545793762	0.00048177463356244
0.011954377	0.0209537371693265	0.000411703161644043
0.012068381	0.0172438212611937	0.000351586361516334
0.012186087	0.0150854974718988	0.000299303550319149
0.012301387	0.0126154585435422	0.000256110470276707
0.012419085	0.010643746874766	0.00021886196075034
0.012540415	0.00925294928974153	0.000186536242891544
0.012662995	0.00813140403543048	0.000159137927502043
0.01278684	0.00662557031735256	0.000135975863383511
0.012911959	0.00575673915133593	0.000116466035509431
0.01303837	0.00493671797327654	0.000100109995196282
0.01316608	0.0042829234437217	8.64828268329321e-05
0.013295104	0.00377218411755268	7.52184516719448e-05
0.013425456	0.00324412285974415	6.60012527259701e-05
0.013557148	0.00285168892063408	5.85580949985018e-05
0.013690191	0.0026388351843092	5.26516783688966e-05
0.013824603	0.00237469239789577	4.80749369646237e-05
0.013960391	0.00218726639532523	4.46473114228513e-05
0.014093435	0.00213556196551591	4.22704002384852e-05
0.014229176	0.00209738895843381	4.06860975592446e-05
0.014369115	0.00198025635256419	3.97960931530775e-05
0.01451049	0.00199622226539529	3.95327070054149e-05
0.014653313	0.00196135136773677	3.98002220648029e-05
0.014797601	0.00197496720395157	4.05140529142508e-05
0.014943364	0.00201680517188397	4.15993352154726e-05
0.01509062	0.00214608997491167	4.29898223021639e-05
0.015239386	0.00221591457090692	4.4626834967083e-05
0.015389669	0.00230528544191745	4.64582480791073e-05
0.015541491	0.00249460950244985	4.84380193537817e-05
0.015694864	0.00257902606825907	5.05252353514364e-05
0.015849805	0.00260892593760155	5.26837147221522e-05
0.016006324	0.00273116364424005	5.48813414187744e-05
