#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0008.dat
#   q[nm-1]colloids_0_0008_Spheres-0.42_trm=0.581773
#   Exported=Sat, Aug 30, 2008 7:28:13 AM
Q_colloids_0_0008	R_colloids_0_0008	S_colloids_0_0008
0.0740907	9.81029	3.132138
0.0744298	9.35225	3.058145
0.0747689	9.1065	3.017698
0.075108	8.87197	2.978585
0.0754471	8.78848	2.964537
0.0757862	8.85696	2.976065
0.0761252	9.08047	3.013382
0.0764643	9.48436	3.079669
0.0768034	9.96902	3.157376
0.0771425	10.5142	3.242561
0.0774816	11.1794	3.343561
0.0778207	11.9902	3.462687
0.0781598	12.9367	3.596762
0.0784989	13.924	3.731488
0.0788379	14.9223	3.862939
0.079177	15.904	3.987982
0.0795161	17.0557	4.129855
0.0798552	18.2593	4.27309
0.0801943	19.4552	4.410805
0.0805334	20.732	4.553241
0.0808725	21.9674	4.686939
0.0812116	23.2331	4.820073
0.0815507	24.6422	4.964091
0.0818897	26.0794	5.106799
0.0822288	27.3592	5.230602
0.0825679	28.6323	5.350916
0.082907	29.7002	5.449789
0.0832461	30.7849	5.548414
0.0835852	31.7537	5.635042
0.0839243	32.7095	5.719222
0.0842633	33.5676	5.793755
0.0846024	34.3656	5.862218
0.0849415	35.0215	5.917897
0.0852806	35.6096	5.967378
0.0856197	36.0805	6.006705
0.0859588	36.5559	6.046147
0.0862979	37.0062	6.083272
0.086637	37.1851	6.097959
0.0869761	37.1516	6.095211
0.0873151	37.2253	6.101254
0.0876542	37.2544	6.103638
0.0879933	37.1738	6.097032
0.0883324	36.9761	6.080798
0.0886715	36.6152	6.05105
0.0890106	36.2367	6.019692
0.0893497	35.7983	5.983168
0.0896887	35.2232	5.934914
0.0900278	34.63	5.884726
0.0903669	34.0194	5.832615
0.090706	33.4809	5.786268
0.0910451	32.6149	5.710946
0.0913842	31.7195	5.632007
0.0917233	30.9466	5.562967
0.0920624	30.0557	5.482308
0.0924014	29.0781	5.392411
0.0927405	28.0851	5.299538
0.0930796	27.1616	5.211679
0.0934187	26.1766	5.116307
0.0937578	25.1503	5.015007
0.0940969	24.1884	4.91817
0.094436	23.2833	4.825277
0.0947751	22.2779	4.719947
0.0951141	21.1635	4.60038
0.0954532	20.1537	4.489287
0.0957923	19.1927	4.380947
0.0961314	18.341	4.28264
0.0964705	17.4411	4.176254
0.0968096	16.4868	4.060394
0.0971487	15.648	3.955755
0.0974878	14.7682	3.842942
0.0978268	13.8781	3.725332
0.0981659	13.0951	3.618715
0.098505	12.2782	3.504026
0.0988441	11.5081	3.392359
0.0991832	10.7302	3.275698
0.0995223	9.98316	3.159614
0.0998614	9.31467	3.051994
0.1002	8.68628	2.94725
0.10054	8.14084	2.853216
0.100879	7.59918	2.756661
0.101218	7.10095	2.664761
0.101557	6.60511	2.570041
0.101896	6.14944	2.479806
0.102235	5.68712	2.384768
0.102574	5.25649	2.292704
0.102913	4.8269	2.197021
0.103252	4.48546	2.11789
0.103591	4.19455	2.04806
0.10393	3.92369	1.980831
0.104269	3.70943	1.925988
0.104609	3.56249	1.887456
0.104948	3.41987	1.849289
0.105287	3.31278	1.820104
0.105626	3.26812	1.807794
0.105965	3.21958	1.794319
0.106304	3.2106	1.791815
0.106643	3.24965	1.802679
0.106982	3.27294	1.809127
0.107321	3.40683	1.84576
0.10766	3.52606	1.877781
0.107999	3.67001	1.915727
0.108339	3.78903	1.946543
0.108678	3.94019	1.984991
0.109017	4.13815	2.034244
0.109356	4.35099	2.085903
0.109695	4.61001	2.147094
0.110034	4.88951	2.211224
0.110373	5.14867	2.269068
0.110712	5.45956	2.33657
0.111051	5.74133	2.396107
0.11139	6.02196	2.453968
0.111729	6.33328	2.516601
0.112069	6.63767	2.576368
0.112408	6.91689	2.629998
0.112747	7.20868	2.684899
0.113086	7.47686	2.734385
0.113425	7.72638	2.779637
0.113764	8.04756	2.836822
0.114103	8.40894	2.899817
0.114442	8.65198	2.941425
0.114781	8.79192	2.965117
0.11512	8.9756	2.995931
0.115459	9.13824	3.022952
0.115798	9.29338	3.048505
0.116138	9.4824	3.07935
0.116477	9.59117	3.096961
0.116816	9.68186	3.111569
0.117155	9.82025	3.133728
0.117494	9.91565	3.148913
0.117833	9.93374	3.151783
0.118172	9.99215	3.161036
0.118511	9.99196	3.161006
0.11885	10.0126	3.164269
0.119189	10.0012	3.162467
0.119528	9.95599	3.155311
0.119868	9.92296	3.150073
0.120207	9.90698	3.147536
0.120546	9.85216	3.138815
0.120885	9.74596	3.121852
0.121224	9.59392	3.097405
0.121563	9.42399	3.069852
0.121902	9.22308	3.036952
0.122241	9.06133	3.010204
0.12258	8.87242	2.978661
0.122919	8.66257	2.943224
0.123258	8.49018	2.913791
0.123597	8.22745	2.868353
0.123937	8.07023	2.840815
0.124276	7.91268	2.812949
0.124615	7.6897	2.773031
0.124954	7.44827	2.729152
0.125293	7.15253	2.674422
0.125632	6.90937	2.628568
0.125971	6.6547	2.57967
0.12631	6.42733	2.535218
0.126649	6.22097	2.494187
0.126988	5.95237	2.439748
0.127327	5.67913	2.383093
0.127667	5.44748	2.333984
0.128006	5.23789	2.288644
0.128345	4.99765	2.235543
0.128684	4.77997	2.186314
0.129023	4.57401	2.138694
0.129362	4.33108	2.081125
0.129701	4.09047	2.022491
0.13004	3.87392	1.968228
0.130379	3.66459	1.914312
0.130718	3.49838	1.870396
0.131057	3.2903	1.813918
0.131396	3.07282	1.752946
0.131736	2.87248	1.694839
0.132075	2.71913	1.648978
0.132414	2.55587	1.598709
0.132753	2.42883	1.55847
0.133092	2.30233	1.517343
0.133431	2.15435	1.46777
0.13377	2.03879	1.427862
0.134109	1.94768	1.395593
0.134448	1.84752	1.359235
0.134787	1.78229	1.335024
0.135126	1.72983	1.31523
0.135465	1.68209	1.296954
0.135805	1.62367	1.274233
0.136144	1.59503	1.262945
0.136483	1.58763	1.260012
0.136822	1.58545	1.259147
0.137161	1.58737	1.259909
0.1375	1.57348	1.254384
0.137839	1.59252	1.261951
0.138178	1.62964	1.276574
0.138517	1.68924	1.299708
0.138856	1.75095	1.323235
0.139195	1.81578	1.347509
0.139535	1.88466	1.372829
0.139874	1.95454	1.398049
0.140213	2.0259	1.423341
0.140552	2.10873	1.452147
0.140891	2.18333	1.47761
0.14123	2.24847	1.49949
0.141569	2.32737	1.525572
0.141908	2.43643	1.560907
0.142247	2.55524	1.598512
0.142586	2.71319	1.647176
0.142925	2.81415	1.677543
0.143264	2.89119	1.70035
0.143604	2.96399	1.721624
0.143943	3.03946	1.743405
0.144282	3.11384	1.764608
0.144621	3.21782	1.793828
0.14496	3.32308	1.822932
0.145299	3.38058	1.838635
0.145638	3.44441	1.855912
0.145977	3.49979	1.870773
0.146316	3.54576	1.883019
0.146655	3.60698	1.899205
0.146994	3.66991	1.915701
0.147334	3.7151	1.927459
0.147673	3.76078	1.939273
0.148012	3.77996	1.944212
0.148351	3.79888	1.949072
0.14869	3.81042	1.95203
0.149029	3.8485	1.961759
0.149368	3.8803	1.969848
0.149707	3.89075	1.972498
0.150046	3.87552	1.968634
0.150385	3.85276	1.962845
0.150724	3.86269	1.965373
0.151063	3.85049	1.962267
0.151403	3.84843	1.961742
0.151742	3.81952	1.954359
0.152081	3.76949	1.941517
0.15242	3.69166	1.921369
0.152759	3.63916	1.907658
0.153098	3.58409	1.893169
0.153437	3.53952	1.881361
0.153776	3.48194	1.865996
0.154115	3.41062	1.846786
0.154454	3.34733	1.829571
0.154793	3.28004	1.811088
0.155132	3.23384	1.798288
0.155472	3.1386	1.771609
0.155811	3.03578	1.742349
0.15615	2.94924	1.717335
0.156489	2.87579	1.695815
0.156828	2.79899	1.673018
0.157167	2.69855	1.642726
0.157506	2.59446	1.610733
0.157845	2.49025	1.578053
0.158184	2.4036	1.550355
0.158523	2.29822	1.515988
0.158862	2.19838	1.482693
0.159202	2.12639	1.458215
0.159541	2.0543	1.433283
0.15988	1.97741	1.406204
0.160219	1.8712	1.367918
0.160558	1.7809	1.334504
0.160897	1.69805	1.303092
0.161236	1.62825	1.276029
0.161575	1.57184	1.25373
0.161914	1.49284	1.221818
0.162253	1.41245	1.188465
0.162592	1.34457	1.159556
0.162931	1.28279	1.132603
0.163271	1.21404	1.101835
0.16361	1.16898	1.081194
0.163949	1.1366	1.066114
0.164288	1.08162	1.04001
0.164627	1.03442	1.017064
0.164966	0.995127	0.9975606
0.165305	0.964966	0.9823268
0.165644	0.92052	0.9594373
0.165983	0.901659	0.9495572
0.166322	0.896666	0.9469245
0.166661	0.9055	0.9515777
0.167	0.892336	0.9446354
0.16734	0.88204	0.9391699
0.167679	0.895085	0.9460893
0.168018	0.900213	0.9487956
0.168357	0.886118	0.9413384
0.168696	0.908034	0.9529082
0.169035	0.93277	0.9658002
0.169374	0.956254	0.9778824
0.169713	0.999742	0.999871
0.170052	1.00496	1.002477
0.170391	1.01995	1.009926
0.17073	1.05718	1.028193
0.17107	1.08776	1.042957
0.171409	1.11657	1.056679
0.171748	1.13704	1.066321
0.172087	1.17413	1.083573
0.172426	1.20297	1.0968
0.172765	1.22938	1.108774
0.173104	1.28803	1.134914
0.173443	1.31755	1.147846
0.173782	1.35338	1.163349
0.174121	1.3834	1.17618
0.17446	1.41508	1.189571
0.174799	1.44186	1.200775
0.175139	1.48588	1.218967
0.175478	1.52131	1.233414
0.175817	1.57081	1.25332
0.176156	1.60608	1.267312
0.176495	1.63757	1.279676
0.176834	1.65669	1.287125
0.177173	1.6713	1.292788
0.177512	1.68377	1.297602
0.177851	1.69579	1.302225
0.17819	1.72466	1.313263
0.178529	1.75745	1.325688
0.178868	1.77463	1.332152
0.179208	1.79292	1.339
0.179547	1.79894	1.341246
0.179886	1.8058	1.343801
0.180225	1.8059	1.343838
0.180564	1.81361	1.346703
0.180903	1.81048	1.345541
0.181242	1.81214	1.346157
0.181581	1.78381	1.335593
0.18192	1.76267	1.327656
0.182259	1.7525	1.32382
0.182598	1.72451	1.313206
0.182937	1.70168	1.304485
0.183277	1.70602	1.306147
0.183616	1.71261	1.308667
0.183955	1.68235	1.297054
0.184294	1.63522	1.278757
0.184633	1.60052	1.265117
0.184972	1.56248	1.249992
0.185311	1.52047	1.233073
0.18565	1.50754	1.227819
0.185989	1.47014	1.212493
0.186328	1.42325	1.193
0.186667	1.39425	1.180784
0.187007	1.33357	1.154803
0.187346	1.28594	1.133993
0.187685	1.27977	1.131269
0.188024	1.25187	1.11887
0.188363	1.20405	1.097292
0.188702	1.15987	1.076973
0.189041	1.1263	1.061273
0.18938	1.08696	1.042574
0.189719	1.03915	1.019387
0.190058	1.00678	1.003384
0.190397	0.979938	0.9899182
0.190736	0.938574	0.9688003
0.191076	0.889784	0.9432836
0.191415	0.849291	0.9215699
0.191754	0.813123	0.9017333
0.192093	0.773106	0.8792645
0.192432	0.752959	0.8677321
0.192771	0.735296	0.8574941
0.19311	0.701526	0.8375715
0.193449	0.686326	0.8284479
0.193788	0.667056	0.816735
0.194127	0.635181	0.7969825
0.194466	0.612356	0.7825318
0.194805	0.596004	0.7720129
0.195145	0.587031	0.7661795
0.195484	0.567369	0.753239
0.195823	0.54168	0.7359891
0.196162	0.529932	0.7279643
0.196501	0.530573	0.7284044
0.19684	0.51553	0.7180042
0.197179	0.505852	0.7112327
0.197518	0.51363	0.7166798
0.197857	0.50961	0.7138698
0.198196	0.504824	0.7105097
0.198535	0.519647	0.7208654
0.198874	0.521877	0.7224106
0.199214	0.534818	0.7313125
0.199553	0.545009	0.7382473
0.199892	0.542941	0.7368453
0.200231	0.555345	0.7452148
0.20057	0.58062	0.7619842
0.200909	0.602801	0.7764026
0.201248	0.617627	0.7858925
0.201587	0.619416	0.7870299
0.201926	0.625826	0.7910917
0.202265	0.650284	0.8064019
0.202604	0.665703	0.8159062
0.202943	0.709699	0.8424363
0.203283	0.715862	0.8460863
0.203622	0.719345	0.8481421
0.203961	0.739921	0.8601866
0.2043	0.742483	0.8616745
0.204639	0.774363	0.879979
0.204978	0.794435	0.8913109
0.205317	0.798946	0.8938378
0.205656	0.798171	0.8934041
0.205995	0.828694	0.9103263
0.206334	0.838456	0.9156724
0.206673	0.878896	0.9374945
0.207012	0.869872	0.9326693
0.207352	0.859585	0.9271381
0.207691	0.880829	0.9385249
0.20803	0.893942	0.9454851
0.208369	0.907606	0.9526836
0.208708	0.892263	0.9445967
0.209047	0.904505	0.9510547
0.209386	0.917849	0.9580444
0.209725	0.926092	0.9623368
0.210064	0.941095	0.9701005
0.210403	0.921489	0.9599422
0.210742	0.923008	0.9607331
0.211082	0.9316	0.9651943
0.211421	0.932634	0.9657298
0.21176	0.923997	0.9612476
0.212099	0.939368	0.96921
0.212438	0.943213	0.9711915
0.212777	0.933424	0.9661387
0.213116	0.907438	0.9525954
0.213455	0.900261	0.9488208
0.213794	0.897977	0.9476165
0.214133	0.89223	0.9445792
0.214472	0.869051	0.932229
0.214811	0.841877	0.9175385
0.21515	0.824658	0.9081068
0.21549	0.79929	0.8940302
0.215829	0.784443	0.8856879
0.216168	0.780626	0.8835304
0.216507	0.761342	0.8725491
0.216846	0.736695	0.8583094
0.217185	0.718817	0.8478308
0.217524	0.694626	0.8334423
0.217863	0.669807	0.8184174
0.218202	0.66091	0.8129637
0.218541	0.635831	0.7973901
0.21888	0.628105	0.7925308
0.219219	0.615013	0.7842277
0.219559	0.591045	0.7687945
0.219898	0.560429	0.7486181
0.220237	0.52794	0.7265948
0.220576	0.507537	0.7124163
0.220915	0.493365	0.7023994
0.221254	0.469961	0.685537
0.221593	0.45032	0.6710589
0.221932	0.440428	0.6636475
0.222271	0.421058	0.6488898
0.22261	0.400742	0.6330419
0.222949	0.398568	0.6313224
0.223289	0.385969	0.621264
0.223628	0.37039	0.6085967
0.223967	0.357965	0.5983018
0.224306	0.337458	0.5809113
0.224645	0.318537	0.5643908
0.224984	0.311473	0.5580977
0.225323	0.309991	0.5567684
0.225662	0.310513	0.5572369
0.226001	0.303276	0.550705
0.22634	0.295696	0.5437794
0.226679	0.293886	0.5421125
0.227018	0.279666	0.5288346
0.227358	0.278878	0.528089
0.227697	0.28618	0.5349579
0.228036	0.29266	0.5409806
0.228375	0.300714	0.5483739
0.228714	0.301777	0.5493423
0.229053	0.299687	0.5474368
0.229392	0.288127	0.5367746
0.229731	0.286616	0.5353653
0.23007	0.300236	0.5479379
0.230409	0.311486	0.5581093
0.230748	0.312046	0.5586108
0.231087	0.320042	0.5657226
0.231427	0.314685	0.5609679
0.231766	0.330652	0.5750235
0.232105	0.351428	0.5928136
0.232444	0.358121	0.5984321
0.232783	0.360693	0.6005772
0.233122	0.365107	0.6042408
0.233461	0.371151	0.6092216
0.2338	0.371631	0.6096154
0.234139	0.395791	0.6291192
0.234478	0.384748	0.6202806
0.234817	0.389402	0.6240208
0.235156	0.395815	0.6291383
0.235495	0.413238	0.6428359
0.235835	0.415197	0.6443579
0.236174	0.42495	0.6518819
0.236513	0.434137	0.6588907
0.236852	0.433	0.6580274
0.237191	0.441743	0.6646375
0.23753	0.449955	0.6707869
0.237869	0.454664	0.6742878
0.238208	0.452859	0.672948
0.238547	0.460464	0.678575
0.238886	0.462555	0.680114
0.239225	0.46831	0.6843318
0.239564	0.481326	0.6937766
0.239904	0.479281	0.6923012
0.240243	0.472325	0.687259
