#   Data imported from folder=prg HD:Users:ilavsky:Documents:Experiments:ESRF SAXS experiment 5 2008:data colloids:
#   Data file name=colloids_0_0005.dat
#   q[nm-1]colloids_0_0005_Spheres-0.05_trm=0.537848
#   Exported=Sat, Aug 30, 2008 7:27:59 AM
Q_colloids_0_0005	R_colloids_0_0005	S_colloids_0_0005
0.0734125	2.19373	1.481125
0.0737516	2.06576	1.437275
0.0740907	1.95523	1.398295
0.0744298	1.86843	1.366905
0.0747689	1.80643	1.344035
0.075108	1.76277	1.327693
0.0754471	1.74463	1.320844
0.0757862	1.7489	1.32246
0.0761252	1.7715	1.330977
0.0764643	1.82973	1.352675
0.0768034	1.89644	1.377113
0.0771425	1.98058	1.407331
0.0774816	2.07831	1.441635
0.0778207	2.17956	1.476333
0.0781598	2.29528	1.515018
0.0784989	2.41417	1.55376
0.0788379	2.54264	1.594566
0.079177	2.67585	1.635803
0.0795161	2.8401	1.68526
0.0798552	3.00879	1.734586
0.0801943	3.15366	1.775855
0.0805334	3.30434	1.817784
0.0808725	3.47929	1.865286
0.0812116	3.63919	1.907666
0.0815507	3.80258	1.950021
0.0818897	3.96077	1.990168
0.0822288	4.12141	2.030126
0.0825679	4.29139	2.071567
0.082907	4.43019	2.104802
0.0832461	4.58001	2.140096
0.0835852	4.68939	2.1655
0.0839243	4.8115	2.193513
0.0842633	4.93356	2.221162
0.0846024	5.04242	2.245533
0.0849415	5.14929	2.269205
0.0852806	5.22625	2.286099
0.0856197	5.29463	2.301006
0.0859588	5.35552	2.3142
0.0862979	5.40295	2.324425
0.086637	5.42029	2.328152
0.0869761	5.45741	2.33611
0.0873151	5.51618	2.348655
0.0876542	5.55026	2.355899
0.0879933	5.54552	2.354893
0.0883324	5.53838	2.353376
0.0886715	5.50546	2.346372
0.0890106	5.46206	2.337105
0.0893497	5.43869	2.3321
0.0896887	5.37799	2.319049
0.0900278	5.28973	2.299941
0.0903669	5.19872	2.28007
0.090706	5.15232	2.269872
0.0910451	5.08842	2.255753
0.0913842	4.98777	2.233332
0.0917233	4.87882	2.208805
0.0920624	4.74064	2.177301
0.0924014	4.63948	2.153945
0.0927405	4.53807	2.130275
0.0930796	4.41338	2.100805
0.0934187	4.28626	2.070328
0.0937578	4.15324	2.03795
0.0940969	4.00738	2.001844
0.094436	3.8717	1.967664
0.0947751	3.71515	1.927472
0.0951141	3.55665	1.885908
0.0954532	3.41914	1.849092
0.0957923	3.28317	1.811952
0.0961314	3.1585	1.777217
0.0964705	2.99652	1.731046
0.0968096	2.85091	1.688464
0.0971487	2.70943	1.646035
0.0974878	2.55061	1.597063
0.0978268	2.42016	1.555686
0.0981659	2.30027	1.516664
0.098505	2.15529	1.468091
0.0988441	2.00533	1.416097
0.0991832	1.88695	1.373663
0.0995223	1.77414	1.331968
0.0998614	1.65914	1.288076
0.1002	1.5581	1.248239
0.10054	1.46667	1.211061
0.100879	1.36681	1.169106
0.101218	1.26534	1.124873
0.101557	1.17828	1.085486
0.101896	1.11177	1.054405
0.102235	1.04032	1.019961
0.102574	0.967675	0.9837047
0.102913	0.903055	0.9502921
0.103252	0.847868	0.9207975
0.103591	0.7974	0.8929726
0.10393	0.751598	0.8669475
0.104269	0.719338	0.848138
0.104609	0.689027	0.8300765
0.104948	0.673805	0.8208563
0.105287	0.650918	0.8067949
0.105626	0.643539	0.8022088
0.105965	0.644394	0.8027415
0.106304	0.632273	0.7951559
0.106643	0.628151	0.7925598
0.106982	0.644897	0.8030548
0.107321	0.658896	0.8117241
0.10766	0.673791	0.8208477
0.107999	0.692502	0.8321671
0.108339	0.716446	0.8464313
0.108678	0.737519	0.8587893
0.109017	0.770332	0.8776856
0.109356	0.811193	0.9006625
0.109695	0.848874	0.9213436
0.110034	0.878509	0.9372881
0.110373	0.913635	0.9558426
0.110712	0.952267	0.9758417
0.111051	0.997869	0.9989339
0.11139	1.0476	1.023523
0.111729	1.07693	1.037752
0.112069	1.11906	1.057856
0.112408	1.15367	1.07409
0.112747	1.1951	1.093206
0.113086	1.23807	1.112686
0.113425	1.29053	1.136015
0.113764	1.34146	1.158214
0.114103	1.37951	1.174525
0.114442	1.41072	1.187737
0.114781	1.44475	1.201977
0.11512	1.46782	1.211536
0.115459	1.48629	1.219135
0.115798	1.50584	1.227127
0.116138	1.53858	1.240395
0.116477	1.56458	1.250832
0.116816	1.59015	1.261011
0.117155	1.6129	1.27
0.117494	1.63253	1.277705
0.117833	1.65382	1.286009
0.118172	1.66013	1.28846
0.118511	1.65212	1.285348
0.11885	1.6553	1.286585
0.119189	1.64561	1.282813
0.119528	1.64257	1.281628
0.119868	1.64793	1.283717
0.120207	1.63627	1.279168
0.120546	1.62473	1.274649
0.120885	1.61662	1.271464
0.121224	1.60554	1.267099
0.121563	1.59699	1.263721
0.121902	1.56704	1.251815
0.122241	1.54749	1.243981
0.12258	1.51094	1.229203
0.122919	1.47783	1.21566
0.123258	1.44374	1.201557
0.123597	1.40472	1.185209
0.123937	1.37646	1.173226
0.124276	1.33759	1.156542
0.124615	1.29658	1.138675
0.124954	1.25701	1.121165
0.125293	1.22579	1.107154
0.125632	1.18723	1.089601
0.125971	1.1575	1.075872
0.12631	1.11949	1.05806
0.126649	1.06837	1.03362
0.126988	1.02754	1.013676
0.127327	0.994288	0.9971399
0.127667	0.953543	0.9764953
0.128006	0.908698	0.9532565
0.128345	0.872238	0.9339368
0.128684	0.837129	0.9149475
0.129023	0.794935	0.8915913
0.129362	0.756376	0.8696988
0.129701	0.719025	0.8479534
0.13004	0.686315	0.8284413
0.130379	0.654183	0.8088158
0.130718	0.619022	0.7867795
0.131057	0.590479	0.7684263
0.131396	0.564603	0.7514006
0.131736	0.534867	0.731346
0.132075	0.502356	0.7087708
0.132414	0.472108	0.6871012
0.132753	0.449104	0.6701522
0.133092	0.431081	0.6565676
0.133431	0.422213	0.6497792
0.13377	0.407503	0.6383596
0.134109	0.388095	0.6229727
0.134448	0.37488	0.6122744
0.134787	0.356679	0.5972261
0.135126	0.345175	0.587516
0.135465	0.340205	0.583271
0.135805	0.342096	0.5848897
0.136144	0.340438	0.5834706
0.136483	0.330068	0.5745155
0.136822	0.323562	0.5688251
0.137161	0.332354	0.5765015
0.1375	0.342539	0.5852683
0.137839	0.343667	0.5862312
0.138178	0.338692	0.5819725
0.138517	0.348469	0.5903126
0.138856	0.353604	0.5946461
0.139195	0.357818	0.5981789
0.139535	0.375651	0.6129038
0.139874	0.391829	0.6259625
0.140213	0.396047	0.6293226
0.140552	0.408154	0.6388693
0.140891	0.418383	0.6468253
0.14123	0.431927	0.6572115
0.141569	0.449068	0.6701254
0.141908	0.460876	0.6788785
0.142247	0.470842	0.6861793
0.142586	0.475914	0.6898652
0.142925	0.486787	0.6977012
0.143264	0.509005	0.7134458
0.143604	0.527865	0.7265432
0.143943	0.536862	0.7327087
0.144282	0.544365	0.737811
0.144621	0.55939	0.7479238
0.14496	0.578746	0.7607536
0.145299	0.595354	0.7715919
0.145638	0.610534	0.7813668
0.145977	0.617631	0.785895
0.146316	0.619344	0.7869841
0.146655	0.627192	0.7919546
0.146994	0.631574	0.7947163
0.147334	0.646225	0.8038812
0.147673	0.661208	0.8131469
0.148012	0.668759	0.8177769
0.148351	0.664472	0.8151515
0.14869	0.665011	0.8154821
0.149029	0.671327	0.8193455
0.149368	0.670954	0.8191178
0.149707	0.666203	0.8162126
0.150046	0.668181	0.8174234
0.150385	0.670102	0.8185976
0.150724	0.658374	0.8114025
0.151063	0.658941	0.8117518
0.151403	0.660592	0.8127681
0.151742	0.656451	0.8102166
0.152081	0.642689	0.8016788
0.15242	0.633917	0.796189
0.152759	0.631939	0.7949459
0.153098	0.628692	0.792901
0.153437	0.619001	0.7867662
0.153776	0.613895	0.7835145
0.154115	0.604025	0.7771904
0.154454	0.585244	0.7650124
0.154793	0.567441	0.7532868
0.155132	0.546345	0.7391515
0.155472	0.535617	0.7318586
0.155811	0.516338	0.7185666
