#   Data imported from folder=prg HD:Users:ilavsky:Desktop:Software issues:P(r):
#   Data file name=Data.txt
#         S          J EXP       ERROR       J REG       I REG
#   
#   IgorExperimentName=Test P(r)
#   DataFolderinIgor=root:SAS:ImportedData:Data:
#   DistributionTypeModelled=Volume distribution
#   CursorAPosition=0
#   CursorBPosition=476
#   NumberOfModelledDistributions=1
#   UseInterference=0
#   UseSlitSmearedData=0
#   SlitLength=0
#   SASBackground=0
#   FitSASBackground=1
#   Dist1ShapeModel=spheroid
#   Dist1ScatShapeParam1=1
#   Dist1ScatShapeParam2=1
#   Dist1ScatShapeParam3=1
#   Dist1ScatShapeParam4=0
#   Dist1ScatShapeParam5=0
#   Dist1DistributionType=Gauss
#   Dist1Formula=P(x)=(1/(Width*sqrt(2*pi)) * exp(-(x-Mean)^2/(2*Width^2))
#   Dist1NegligibleFraction=0.01
#   Dist1FitShape=1
#   Dist1FitLocation=0
#   Dist1FitScale=1
#   Dist1FitVol=1
#   Dist1VolFraction=0.02
#   Dist1Location=330
#   Dist1Scale=5
#   Dist1Shape=0.5
#   Dist1VolFractionError=0
#   Dist1LocationError=0
#   Dist1ScaleError=0
#   Dist1ShapeError=0
#   Dist1NumberOfPoints=50
#   Dist1Contrast=0.01
#   Dist1UseInterference=0
#   UsersComment=Result from Modeling Tue, Jul 22, 2008  3:26:20 PM
#   Wname=ModelingIntensity_0
#   Units=cm-1
#   Exported=Fri, Aug 22, 2008 7:34:59 PM
Q_synth	R_Synth	S_synth
0.00950200017541647	0.224690506941092	0.00674071520823276
0.0100299995392561	0.21140558611138	0.00634216758334139
0.0105600003153086	0.198076050831643	0.00594228152494929
0.0110900001600385	0.184830975948168	0.00554492927844504
0.0116100003942847	0.171990405528547	0.00515971216585641
0.0121400002390146	0.159130201386312	0.00477390604158937
0.0126700000837445	0.146565000947161	0.00439695002841483
0.0131999999284744	0.134355424848546	0.00403066274545637
0.0137200001627207	0.1227748244167	0.003683244732501
0.0142500000074506	0.111425837265182	0.00334277511795545
0.0147799998521805	0.100577685811537	0.00301733057434612
0.0153099996969104	0.0902663514417186	0.00270799054325156
0.0158399995416403	0.08052121854837	0.0024156365564511
0.0163599997758865	0.0715322660535139	0.00214596798160542
0.016890000551939	0.062969843779978	0.00188909531339934
0.0174199994653463	0.0550225037886452	0.00165067511365936
0.0179500002413988	0.0476940897102304	0.00143082269130691
0.0184799991548061	0.0409827072488326	0.00122948121746498
0.0189999993890524	0.0349904287923791	0.00104971286377137
0.0195300001651049	0.0294744967037278	0.000884234901111833
0.0200599990785122	0.0245387825841112	0.000736163477523335
0.0205899998545647	0.0201619616355838	0.000604858849067515
0.0211100000888109	0.01638682201148	0.000491604660344398
0.0216400008648634	0.0130405081618298	0.000391215244854895
0.0221699997782707	0.0101699038023025	0.000305097114069076
0.0227000005543232	0.00774221997086632	0.00023226659912599
0.0232299994677305	0.00572315677463551	0.000171694703239065
0.0237499997019768	0.00410517593810293	0.000123155278143088
0.0242800004780293	0.002790752257616	8.372256772848e-05
0.0248099993914366	0.00177851089822295	5.33553269466884e-05
0.0253400001674891	0.00103293530941014	3.09880592823043e-05
0.0258699990808964	0.000519333632667968	1.5580008980039e-05
0.0263899993151426	0.000208498669296229	6.25496007888688e-06
0.0269200000911951	5.69679046317657e-05	1.70903713895297e-06
0.0274500008672476	4.22648921405458e-05	1.26794676421637e-06
0.0279799997806549	0.000136199808724279	4.08599426172836e-06
0.0285000000149012	0.000308864613062457	9.2659383918737e-06
0.0290300007909536	0.000543663604202592	1.63099081260777e-05
0.029559999704361	0.00081682285514758	2.45046856544274e-05
0.0300900004804134	0.00110971341851161	3.32914025553483e-05
0.0306199993938208	0.00140623973933583	4.2187192180075e-05
0.031139999628067	0.00168757499498538	5.06272498495614e-05
0.0316700004041195	0.00195354848772621	5.86064546317862e-05
0.032200001180172	0.00218977482768776	6.56932448306329e-05
0.0327299982309341	0.00238962647238987	7.16887941716962e-05
0.0332599990069866	0.00254854433743874	7.64563301231623e-05
